Sum of All Work Groups,Sum of All Elements,Global Work Sizes,Local Work Sizes,Number of Work Groups,Performance (GigaMults Per Second),,,,,32,64,128,256
549754961920,549821415424,1,32,32768,1.953,,,,1048576,1.953,2.416,3.294,2.866
549752340480,549821415424,1,64,16384,2.416,,,,2097152,2.46,3.464,4.316,3.634
549741920256,549821415424,1,128,8192,3.294,,,,4194304,2.958,4.735,5.725,5.281
549755781120,549821415424,1,256,4096,2.866,,,,8388608,3.397,5.091,7.073,6.545
2199022469120,2199645585408,2,32,65536,2.46,,,,,,,,
2199019847680,2199645585408,2,64,32768,3.464,,,,,,,,
2199009361920,2199645585408,2,128,16384,4.316,,,,,,,,
2198967681024,2199645585408,2,256,8192,3.634,,,,,,,,
8796092497920,8809265233920,4,32,131072,2.958,,,,,,,,
8796089876480,8809265233920,4,64,65536,4.735,,,,,,,,
8796079390720,8809265233920,4,128,32768,5.725,,,,,,,,
8796037447680,8809265233920,4,256,16384,5.281,,,,,,,,
35184887988224,35197538009088,8,32,262144,3.397,,,,,,,,
35184369991680,35197538009088,8,64,131072,5.091,,,,,,,,
35184359505920,35197538009088,8,128,65536,7.073,,,,,,,,
35184317562880,35197538009088,8,256,32768,6.545,,,,,,,,
